"tipo","profumo ","famiglia_olfattiva","note_di_testa","note_di_cuore","note_di_fondo","ML_venduti_novembre_+_dicembe_ 2024"
"donna","2","citrico floreale","bergamotto,bambù","Ylang ylang,giglio,fiore d'arancio","ambra,sandalo,vaniglia",""
"donna","4","fruttato floreale","mele,mandarino,osmanto","magnolia,fresia","muschio,iris","150"
"donna","13","citrico floreale","bergamotto,petit-grand,limone","mandorla,fiori d'arancio, bacche di ginepro","cedro,cipresso,galbano,cumino dei prati,muschio","580"
"donna","16","floreale muschiato","fresia,peonia,litchi","fresia,peonia,magnolia","cedro,muschio,ambra","3800"
"donna","17","floreale floreale","ribes ner, mandarino","mandorla,rosa,,violetta","vaniglia,opoponax,muschio,ambra","690"
"donna","27","citroco aromatico","note di tè,ananas,mandarino,papaia,bergamotto,limone","gelsomino,rosa,mughetto,cardamono,iris","cedro,sandalo,ambra","990"
"donna","33","orientale legnoso","gelsomino","legno di cashmere,note solari","ambra","4010"
"donna","46","floreale legnoso","bergamotto,mandarino","rosa,gelsomino","sandalo,cedro,muschio,patchouli","240"
"donna","49","floreale fruttato ","neroli,limone","lampone,rosa","note vanigliate,muschiate,ambrate e legnose","0"
"donna","52","orientale floreale","bergamotto,tè verde,osmanto,mandarino,ribes nero,pepe rosa","gelsomino,fiori d'arancio,fresia,rosa,orchidea","muschio,patchouli,ambra,sandalo,vaniglia","220"
"donna","54","cipriato floreale","bergamotto,pera","rosa,gelsomino,tuberosa","patchouli,muschio,vaniglia","575"
"donna","58","fruttato fruttato","pesca,albicocca","fresia,osmanto","vaniglia,cacao","30"
"donna","59","orientale legnoso","mandarino,ribes nero,petit-grain,arancia amara,ananas,pera","gelsomino,lavanda,fiore d'arancio","cedro,ambra,muschio,vaniglia,sandalo,fava tonka","2380"
"donna","60","orientale gourmand","pepe rosa,zenzero,melograno","caramello, fiore d'arancio","vetiver,fava tonka,patchouli,ambra,vaniglia","160"
"donna","62","floreale fruttato ","melone,pesca,frutto della passione","rosa,fresia,gardenia","muschio animale, patchouli","425"
"donna","64","orientale legnoso","bergamotto,lavanda,mandarino,mandorle","gelsomino,mughetto,iris,rosa,ylang ylang","ambria,muschio,patchouili,sandalo,vaniglia,fava tonka","320"
"donna","65","floreale fresco","mandarino,cassis,pompelmo","ylanng ylang, gelsomino,neroli","sandalo,muschio","150"
"donna","73","floreale floreale","fiore d'arancio","tuberosa,caprifoglio,iris","sandalo,muschio,ambra","625"
"donna","76","floreale fruttato ","pepe rosa,ribes nero,pompelmo,pera","rosa,gelsomino,ananas","cedro,patchouli,ambra,vaniglia","590"
"donna","77","fruttato gourmand","lampone,fragola,amarena,ribes nero,limone, mandarino","gelsomino, viola","ambra,muschio di quercia,note legnose,muschio,patchouli,vaniglia","130"
"donna","79","orientale gourmand","pepe rosa, castagna","gelsomino sambac, note zuccherate","ambra,sandalo,vaniglia","650"
"donna","82","floreale muschiato","pepe rosa, menta,pesca","mughetto,gelsomino,fiori d'arancio","muschio,legno di cashmere,patchouli,sandalo,ambra","1800"
"donna","84","floreale muschiato","pompelmo,arancia,limone,mandarino","gelsomino,rosa,mughetto","muschio ,bianco,cedro,vetiver,iris","130"
"donna","85","cipriato fruttato","bergamotto,pera,lampone","gelsomino,fiore di zagara,rosa","ambra,patchouli,muschio,cedro","310"
"donna","86","orientale floreale","mandorle, note fruttate","tuberosa,gelsomino","vaniglia,fava tonka,cacao","3125"
"donna","87","orientale gourmand","ciliegina,arancia amara,mandorle","rosa,violetta,caffè","vaniglia,favatonka,sandalo,cacao","160"
"donna","88","orientale floreale","note di mandarino,nocciola,sale,agrumi","gelsomino,albicocca,lampone,tuberosa","ambra grigia,sandalo,vaniglia,patchouli,cedro","550"
"donna","94","floreale legnoso","pepe rosa","iris,rosa","vetiver,cedro,fava tonka,muschio,vaniglia","240"
"donna","95","orientale floreale","bergamotto,pera","tuberosa,fiori d'arancio, gelsomino sambac","patchouli,vetiver,ambroxan,vaniglia","3610"
"donna","101","floreale aldeidico","neroli,ylang ylang,bergamotto,limone,aldeidi","iris,gelsomino,rosa,mughetto","vetiver,muschio,sandalo,patchouli,ambra","1850"
"donna","107","orientale speziato","coriandolo,prugna,mandarino,pepe,gelsomino,bergamotto","garofano,cannella,pesca,mughetto","sandalo, muschio,cocco,vaniglia,benzoino,vetiver,incenso","1620"
"donna","110","cipriato floreale","fiori d'arancio,osmanto,bergamotto","rosa","muschio,patchouili,ambra,vaniglia","4515"
"donna","126","fruttato marino","cassis,kiwi,rabarbaro","anguria,ciclamino,gelsomino,note acquatiche","muschio,legno di sandalo, note legnose, cedro","1175"
"donna","127","orientale ambrato","pepe rosa, limone","gelsomino,iris,giacinto","patchouli,vetiver,muschio,ambra","280"
"donna","137","fruttatto marino","menta,limone,mentuccia,mela verda","note acquatiche,gelsomino,magnolia,lilla","note legnose,muschio","1525"
"donna","139","oriental gourmand","bergamotto,mandarino,zucchero filato","rosa,mora,gelsomino,pesca,albicocca","miele,patchouli,vaniglia,pralinato,cioccolato","320"
"donna","140","cipriato floreale","arancia,mandorla","gardenia,note dolci","patchouli,miele,sandalo","580"
"donna","144","orientale speziato","pera,cassis,aldeidi","fiori d'arancio,gelsomino,iris","vaniglia,pralina,patchouli,fava tonka","4225"
"donna","145","orientale speziato","pepe rosa,pera,fiore di zagara","gelsomino,caffè","cedro,vaniglia,patchouli","3390"
"donna","150","floreale dolce ","bergamotto,mandarino,litchi,pesca","mughetto,gelsomino, ","muschio,vetiver,ambra,vaniglia","535"
"donna","160","cipriato floreale","fragola,rabarbaro,frutti secchi,bergamotto,anice","fiore di zagara,gardenia,rosa,ylang ylang,pera","muschio,muschio di quercia,cuoio,patchouli","620"
"donna","165","cipriato fruttato","arancia,pralinato,neroli","fiori bianchi,fiori di violetta","patchouli,muschio  ","590"
"donna","166","orientale ambrato","mandarino,bergamotto,arancia","mimosa,gelsomino,rosa,ylang ylang","fava tonka, ambra,patcouli,opoponax,vaniglia","3685"
"donna","168","cipriato fruttato","fresia,rebis","rosa","muschio di quercia,patchouli,vaniglia","1370"
"donna","173","orientale legnoso","albicocca,mandorla dolce,prugna,cocco","tuberosa(nardi),gelsomino,mughetto","sandalo,vaniglia,ambra,muschio","3610"
"donna","176","floreale fruttato ","pompelmo,ribes,nero,arancia","gelsomino,mughetto, ","ambra,muschio,vaniglia,fava tonka","30"
"donna","179","floreale fruttato ","peonia,agrumi,mandarino","rosa,osmanto,note fruttate","patchouli,sandalo","1120"
"donna","185","floreale ozonico","fresia,loto,rosa","giglio,osmanto","cedro,legno di sandalo,ambretta","530"
"donna","187","floreale fruttato ","magnolia,pera,melone,pesca","gelsomino,violetta,orchidea","amaretto,muschio,ribes,vaniglia","3965"
"donna","188","orientale floreale","pesca,cocco","ylang ylang,fiore di zagara,popcorn","vaniglia,muschio,sandalo,ambra","320"
"donna","189","citrico floreale","limone,mela verde,giacinto","gelsomino,rosa,bambù,note acquatiche","cedro,ambra,muschio ","2265"
"donna","192","floreale dolce ","bergamotto, arancia, pesca","rosa,fiore d'arancio,lampone","ambra,fava tonka,vaniglia,patchouli","180"
"donna","406","floreale,fruutato","pepe rosa, lampone,rosa","rosa,osmanto ","patchouli,ambra,legno di cashemire,sandalo","110"
"donna","407","citrico floreale","basilico,pompelmo,bergamotto,limone,pera,ribes nero","neroli,gelsomino d'arabia,rosa,mughetto,mela,","vetiver,cedro,muschio,sandalo","310"
"donna","408","orientale floreale","ribes nero,bergamotto,pepe rosa, mandarino,pera,anguria","gelsomino,gelsomino d'arabia,fiore d'arancio,rosa,tuberosa,tè","chashmere,note legnose,vanigla,ambra,muschio","450"
"donna","409","floreale floreale","bergamotto,mandarino,pera,pepe rose,limone","rosa,geranio,gelsomino d'arabia","muschio,patchouli,sandalo,ambra","880"
"donna","410","orientale legnoso","mela,ribes nero,prugna,cannella,limone","gelsomino d'arabia,timo,mughetto,violetta,lavanda,rosa","cedro,sandalo,vaniglia,note legnose,muschio,vetiver,fava tonka","0"
"donna","411","floreale floreale","bergmotto,fiore d'arancio","gelsomino,tuberosa","muschio,cedro,vaniglia","1200"
"donna","412","orientale floreale","bergamotto,zenzero,mandarino","fiore d'arancio,gardenia,nocciola","muschio,vaniglia,muschio di quercia,sandalo,fava tonka","190"
"donna","413","floreale floreale","pera,ibisco,mandariono,pesca,frutti rossi","rosa,iris,magnolia","cedro,muschio,benzoino,vaniglia,sandalo,ambra,caramello","695"
"donna","414","fruttato floreale","rabarbaro,arancia amara,note verdi","narciso,latte di mandorle,gelsomino","cashmire,cedro,muschio,ambra","550"
"donna","415","fruttato floreale","litchi,ribes rosso,bergamotto,pepe rosa","rosa,fiori bianchi","vaniglia,vetiver,ambra,note legnose","210"
"donna","416","orientale gourmand","bergamotto,latte di mandorla","gelsomino,cocco","vaniglia,cashmere,sandalo,muschio","550"
"donna","417","floreale muschiato","latte di mandorla,gelsomino,fiori d'arancio","rosa, lilla, mughetto","muschio,vaniglia,cedro,ambra","210"
"donna","418","floreale legnoso","ribes nero,lampone,mandarino,pera","fiori d'arancio,gelsomino.arancia","vaniglia,legno di cedro,legno di sandalo,muschio","30"
"donna","419","floreale muschio","prugna,pera,bergamotto,mela","eliotropio,rosa,mughetto,gelsomino","muschio,cuoio,cedro,fava tonka,benzoino","60"
"donna","420","floreale dolce ","limone,pepe rosa","rosa,cassis","muschio,ambra,cedro,vaniglia","1375"
"donna","421","floreale fruttato ","melograno,pepe rosa,pera,arancia","fresia,orchidea,magnolia,gelsomino","patchouli,legno di sandalo,ambra,muschio","30"
"donna","422","orientale tropicale","mango,bergamotto","gelsomino,incenso","vaniglia,sandalo","375"
"donna","423","floreale legnoso","arancio,fiori d'arancio,mandarino,bergamotto,coriandolo","iris,galbano,violetta","vetiver,cedro,incenso,benzoino,muschio","240"
"donna","424","fruttato floreale","lampone,mandarino,arancia,cassis,pera","gelsomino,fiori d'arancio,peonia,fresia","cedro,sandalo,ambra,muschio","60"
"donna","425","floreale orientale","pera,arancia,bergamotto","fiori d'arancio,jasmin sambac","muschio,ambra,benzoino,vaniglia","2040"
"donna","427","cipriato floreale","bergamotto,mandorla amara","peonia, ylang ylang","vaniglia, fava tonka","455"
"donna","428","floreale gourmand","gelsomino,bergamotto ","caremello, sale","vaniglia e muschio","825"
"donna","429","floreale noioso","note di tè,pepe rosa","nardi,fiore di ciliegio,tuberosa,gelsomino","sandalo,vetiver,cedro","155"
"donna","430","floreale marino","note marine,note salate,frutti rossi,bergamotta,mango,pesca","giglio,gelsomino,ylang-yalng,fiori d'arancio,mughetto,muguet","meringa, muschio,patchouli,ambra","1225"
"donna","431","floreale muschiato","magnolia,geranio,peonia,pepe rosa","rosa,iris nero,tuberosa","muschio,sandalo,ambra","565"
"donna","432","floreale ambrata","cardamono,pepe","gardenia,fiore narajo","muschio,ambra","420"
"donna","433","citrico gourmand","limone,arancia,mandorla,prugna","fiori d'arancio,rum,note zuccherate","vaniglia,panna cotta","2330"
"unisex","283","legnoso cuoio","chiodo di garofano,bergamotto,cumino","rosa,zafferano,labdano","oud,ambra,griglia,cedro,incenso,cuoio,patchouli","365"
"unisex","383","legnoso cuoio","bergamotto pepe rosa","pelle,gelsomino","patchouli,ambra ","3400"
"unisex","484","floreale agrumato","bergamotto ,mandarino,limone,arancia,lavanda,rosmarino,mirto","fiori d'arancio,neroli,gelsomino,zagara","ambra,muschio,angelica","315"
"unisex","485","legnoso cuoio","cardamono,salvia","cuio,gelsomino,sambac,violetta,iris,note speziate","ambra,muschio di quercia,patchouli","1615"
"unisex","584","orientale","bergamotto,zafferano","legno di oud,rosa","fava tonka,ambra,vaniglia","17405"
"unisex","683","orientale","ibisco,zenzero","gelsomino,nota di tè","ambra,cedro","200"
"unisex","684","orientale","foglie di tabacco,cannella,chiodo di garofano,zenzero","fava tonka,fiore di tabacco,vaniglia,cacao","frutti secchi, note legnose,ambra","1850"
"unisex","709","floreale agrumato","mughetto","cedro,ambra","sandalo e muschio","200"
"unisex","710","floreale agrumato","mughetto,gelsomino,rosa","fiore di tiarè, ylang-ylang","latte di cocco,vaniglia,note muschiate","865"
"unisex","711","floreale agrumato","bergamotto,limone,alghe,calone,note di liquirizia","cuio,zafferano,rosa,edione","ambroxan,cedro,muschio,vetiver,sandalo,patchouli","2465"
"unisex","712","legnoso cuoio","bergamotto,limone,mandarino,ribes nero","iris,sale marino,note marine,foglia di violetta","muschio,legno di sandalo,cedro,note ambrate","650"
"unisex","713","floreale agrumato","bergamotto,cedro","zenzero,note floreali","vetiver,cedro,muschio,benzoino","365"
"unisex","716","legnoso cuio","sale marino,","erbe marine,rosmarino","cedro,incenso","3615"
"unisex","717","orientale","mandarino,cannella,bergamotto,chiodo di garofano","magnolia,cioccolato, violetta,note affumicate","patcouli,fava tonka,oud,ambra,sandalo,cedro,labdano,muschio,vaniglia","400"
"unisex","718","orientale","pepe nero,limone,pepe rosa,bergamotto,elemi","rosa,viola,iris","cedro,lengno di agar,muschio,muschio di quercia,ambra","800"
"unisex","719","floreale agrumato","limone,bergamotto","fiore d'arancio,tagete","vetiver,cedro","215"
"unisex","720","legnoso cuio","note liquorose,incenso,mela verde,pera,pepe","oud,tabacco cennella,zafferano,noce moscata,gelsomino","patchouli,vaniglia,ambra snadalo,vetiver,muschio,benzoino","815"
"unisex","721","orientale","lampone,tabacco,pepe.canella, cumino","betulla,cuoio,ambra,legno di guaiaco","oud,patchouli,tonka,vaniglia,vetiver,benzoino,cedro,muschio","750"
"unisex","722","floreale agrumato","susina,pesca,davana","viola,peonia","cuoio,vaniglia,patchouli,muschio,ambra","300"
"unisex","723","floreale agrumato","pompelmo,arancia amara,limone,bergamotto,tè verde","verbena,salvia,fiori d'arancio,lavanda,rosmarino","cuoio,fava tonka,vetiver,muschio,ambra,muschio animale","150"
"unisex","724","floreale agrumato","bergamotto zafferano,note fruttate,rum","tuberosa,foglie di violetta,geranio,cashmere","patchouli,ambroxan,muschio,cedro,vaniglia,fava tonka","250"
"unisex","725","floreale agrumato","aldeidi,rosa,pepe rosa,note marine,bergamotto","peonia,violetta,fiori d'arancio,mughetto,magnolia,gelsomino","muschio,note legnose,legno di sandalo,muschio,ambra","815"
"unisex","726","floreale agrumato","arancia,bergamotto,limone,pera,ribes nero","frutto della passione,lavanda,violetta","muschio,vaniglia,ambra,sandalo","750"
"unisex","727","legnoso cuoio","origano,pepe,bergamotto","incenso,opoponax,ambra,labdano","oud,cuoio,sandalo,patchouli,cedro,vaniglia","850"
"unisex","728","orientale","anice,rosa","mandorla,fiori bianchi","ambra,vaniglia","565"
"unisex","729","orientale","caramello,miele","cumarina,vaniglia","muschio,ambra","7860"
"unisex","783","legnoso cuoio","note verdi,caffè","resine,tabacco,patchouli","incenso,oud,cedro","950"
"unisex","784","legnoso cuoio","note citriche","mandorla amara, muschio di quercia,zafferano","legno di cachemire, cacao,ambra grigia","2860"
"unisex","883","floreale agrumato","bergamotto,mandarino,ribes nero","orchidea,ylang-ylang,gelsomino","patchouli,vaniglia,cioccolato,incenso","1200"
"unisex","983","floreale agrumato","rosa,limone","gelsomino,geranio","muschio,ambra,legno di sandalo,mirra","1915"
"unisex","984","orientale","note floreali","caffè,rosa","ambra,vaniglia,muschio","9490"
"uomo","200","citrico aromatico","limone,petit-grain,rosmarino,ananas,zenzero","coriandolo,gelsomino,,ciclamino,iris","cedro,fava tonka,muschio","190"
"uomo","208","legnoso","mandarino,bergamotto,lavanda","garofano,noce moscata,violetta","patchouli,vetiver,cuioio","3270"
"uomo","211","legnoso fruttato","salvia,limone, garofano","balsamo,pralinato,cannella,cardamono","pallissandro,patchouli,ebano,cedro","0"
"uomo","219","orientale ambrato","menta,mandarino,pompelmo","cannella,spezie","patchouli,ambra,note legnose","4255"
"uomo","221","erbaceo marino","menta,timo,coriandolo,note verdi","geranio,note floreali,neroli,note marine","muschio bianco,cedro","690"
"uomo","225","erbaceo aromatico","bergamotto,mandarino,note marine","tè verde,ribes nero,rosmarino","sandalo,muschio,ambra","170"
"uomo","226","citrico marino","bergamotto,limone,lime,mandarino","ciclamino,fresia,coriandolo,note marine","cedro.patchouli,muschio","4780"
"uomo","227","orientale ambrato","lavanda,menta,bergamotto,cardamono","fiori d'arancio,cannella,cumino","vaniglia,cedro,sandalo,fava tonka","1055"
"uomo","229","erbaceo aromatico","menta,mela verde,limone","mandorla,geranio,ambroxan","vaniglia,vetiver,muschio di quercia,cedro","1295"
"uomo","231","erbaceo marino","mandarino,melone,cetriolo,anguria,bergamotto","salvia,geranio,basilico,mare","cuoio,muschio,patchouli","0"
"uomo","233","erbaceo aromatico","bergamotto,timo,pepe rosa","lavanda,geranio","ambra grigia,muschio di quercia,patchouli,vetiver","10410"
"uomo","237","erbaceo ambrato","pepe,mela","rosa,mughetto,neroli,incenso","legno di cedro,vetiver,muschio","270"
"uomo","241","orientale legnoso","susina,mela,limone","lavanda,garofano,cannella","legno di sandalo,olivo,vaniglia,ambra,vetiver,legno di cedro,mogano","2005"
"uomo","248","orientale legnoso","limone,mandarino,","legnoi cedro,coriandolo,viola","labdano,ambra,styrax,benzoino,cuoio","0"
"uomo","250","orientale legnoso","basilico,pompelmo, bergamotto","pino,gelsomino,ginepro,","legno di sandalo,patchouli,legno di cedro,benzoino","0"
"uomo","251","erbaceo aromatico","bergamotto,limone","anice,olivo,nota legnosa,legno di cedro","cuoio,tabacco,cumaro","710"
"uomo","254","citrico marino","bergamotto,pompelmo,ginepro,mandarino","pepe,rosmarino,palissandro","incenso,muschio,muschio di quercia","1010"
"uomo","257","citrico marino","noce moscata,menta,limone,arancia,pompelmo","gelsomino,zenzero,note marine","cedro,vetiver,patchouli,sandalo","3760"
"uomo","262","erbaceo marino","mandarino,arancia,note acquatiche,aldeidi","cedro,pepe,neroli","vetiver,muschio,fava tonka,ambra","1375"
"uomo","263","erbaceo speziato","bergamotto,coriandolo,basilico,pompelmo","zenzero,fiore di zagara,cardamono","vaniglia,ambra,cedro,cardamono","300"
"uomo","264","legnoso speziato","zenzero,arancia,limone","mughetto,pepe,fiori bianchi,geranio","patchouli,cedro,vetiver,benzoino,sandalo","2825"
"uomo","266","orientale legnoso","coriandolo,lavanda,note verdi,note fruttate,menta,bergamotto","miele,gelsomino,latte,caramello,mughetto","sandalo,fava tonka,ambra,patchouli,vaniglia,caffè","250"
"uomo","269","legnoso speziato","pompelmo,note acquatiche,mandarino","alloro,gelsomino","note legnose,muschio di quercia,patchouli,ambroxan","3160"
"uomo","270","legnoso floreale","lavanda,salvia bergamotto","iris,cioccolato,cardamono","patchouli,cuoio,vetiver,ambra","180"
"uomo","271","legnoso floreale","zenzero,bergamotto,pompelmo","spezie,pepe,basilico,violetta","fava tonka,vetiver,cedro","290"
"uomo","272","legnoso speziato","spezie","vetiver","patchouli,vaniglia","2080"
"uomo","274","oreintale speziato","arancia,cannella,cardamono,pepe","cuoio,tabacco,rum,iris","benzoino,fava tonka,incenso","570"
"uomo","276","legnoso aromatico","bergamotto,lavanda,ananas","gelsomino,rosa","cedro,sandalo,fava tonka","280"
"uomo","278","legnoso aromatico","petit-grain,limone,cardamono,arancia","gelsomino,rosa,rosmarino,mughetto","vetiver,muschio,muschio di quercia","1380"
"uomo","295","erbaceo aromatico","lavanda,limone","fiore d'arancio,gelsomino","cedro,patchouli ","390"
"uomo","302","orientale ambrato","zenzero,timo,pompelmo,bergamotto","cannella,cuoio,liquore","muschio,mira,vaniglia,cedro,patchouli","210"
"uomo","304","orientale aromatico","bergamotto,menta,zenzero,aldeidi","viola,geranio,mela,ananas","cedro,muschio,vetiver,benzoino,incenso","130"
"uomo","305","erbaceo aromatico","cardamono,pepe rosa,menta","viola,salvia,melone,ananas","vaniglia,cedro,ambra","3990"
"uomo","319","orientale speziato","bergamotto,pepe nero,pepe bianco"," cedro,salvai","fava tonka,ambra,cacao","0"
"uomo","320","legnoso aromatico","note agrumate,arancia rossa,limone,ginepro,bergamotto","peerone,salvia,geranio,lavanda","cedro,vetiver,patchouli,muschio di quercia,note ambrate","585"
"uomo","321","legnoso speziato","note minerali,note marine,zenzero,bergamotto,elemi,mandarino,pompelmo","foglia di violetta,salvia,mela,cassis","vetiver,cedro,fava tonka,incenso,muschio di quercia,ambra,muschio","430"
"uomo","324","legnoso aromatico","bergamotto,ananas,arancia,mandarino","cocco,note marine,artemisia","fava tonka,cedro,ambra,patchouli,vetiver","435"
"uomo","325","erbaceo aromatico","limone,cocco,fico,note minerali,bergamotto,note solari,pepe rosa","rosmarino,geranio,cardamono,noce moscata,note marine,gelsomino,ylang ylang","sandalo,patchouli,ambra,muschio di quercia,muschio","100"
"uomo","326","legnoso aromatico","arancia amara,note citriche,mela rossa,pepe rosa","cipresso,elemi,salvia,foglia di coca","patchouli,cedro,sandalo,muschio,ambra,akigalawood","0"
"uomo","327","erbaceo aromatico","salvia ","narciso,palissandro","labdano ","0"
"uomo","328","orientale ambrato","lime,pepe rosa","lavanda,ambra,noce moscata","incenso,fava tonka,vaniglia,benzoino,cioccolato","360"
"uomo","329","orientale ambrato","bergamotto,limone,menta","noce moscata,lavanda,mela,note marine","vaniglia,pralinata,patchouli,vetiver","570"
"uomo","330","legnoso ambrato","pompelmo,pepe rosa,mandarino,ananas","geranio,salvia,fava tonka,caramello","leder,amber,vanille,eikenmoss","380"
"uomo","331","orientale speziato","bergamotto,cipresso,note di agrumi,","ginepro,pepe nero,lavanda,salvia,galbano","cedro dell'atlante, cedro della virginia,ambra,cashmere,legno di gaiac","1030"
"uomo","333","orientale marino","note marine,ginepro","noce moscata,mughetto,cardamono,violetta","cuoio,patchouli,ambra,vetiver,muschio,sandalo","500"
"uomo","334","legnoso speziato","pepe rosa,pera,cardamono,bergamotto,noce moscata,cumino","rosa,magnolia,chiodi di garofano","vetiver,sandalo,ambra,cashmere,cedro,muschio,benzoino","230"
"uomo","336","legnoso ambrato","cardamono,mandarino","ambra,salvia","benzoino,cedro","340"
"uomo","337","erbaceo legnoso","cardamono,salvia,pera,bergamotto","vetiver,narciso,cuoio,noce moscata,eucalipto","vaniglia,cedro,palo santo,iris,patchouli,sandalo","700"
"uomo","338","erbaceo aromatico","bergamotto,cardamono,pepe rosa","fiori d'arancio,lavanda,salvia","patchouli,ambra,fava tonka","2560"
"uomo","339","aromatico legnoso","cardamono,noce moscata","vetiver,incenso","patchouli,muschio","370"
"uomo","340","erbaceo speziato","frutta,zenzero","lavanda","cuoio,ambra","190"
"uomo","384","legnoso leather","pompelmo,salvia","timo,lavanda,cardamono","cedro,tabacco,cuoio,fava tonka,benzoino","0"
